,New York,Boston,Philadelphia,Washington DC,Atlanta,Miami,Charlotte,Nashville,Tampa,Chicago,Detroit,Minneapolis,St. Louis,Dallas,Houston,Phoenix,Las Vegas,Denver,Salt Lake City,Los Angeles,San Francisco,Seattle,Portland,San Diego,Anchorage
New York,0.0,184.35612912032963,80.05978863626953,168.88000692818298,745.2216556854555,1087.7715944961365,528.344196242331,746.273558270266,998.7090307532658,709.0323136068207,486.82917811670114,1005.8307392178069,870.1350824589697,1362.3261727074528,1398.4258031810064,2128.427232244031,2222.0263042436386,1600.9069364087106,1963.6886746891105,2448.8336248719556,2542.275785110765,2395.273768939007,2427.4104807545796,2420.2799012576834,3361.065581050299
Boston,184.35612912032963,0.0,279.70564018463693,369.1286233377533,945.4509753226251,1260.3174522410695,727.4247971526039,940.9402019412644,1185.86216295587,858.4315148923472,630.6870346168968,1121.0988915569496,1044.27326115728,1551.9102680508518,1595.4630858130795,2295.2087890303183,2375.3008023442235,1749.6167364530447,2099.9603968591514,2605.4310596784253,2682.25720893123,2488.9112172888817,2530.425685646336,2582.3570423864194,3373.396200025653
Philadelphia,80.05978863626953,279.70564018463693,0.0,90.00712477649485,665.8579049006538,1015.4713075386359,448.3032916106333,673.7539528491924,921.3314251375427,666.6916260244313,452.3913064801714,978.3026454174935,811.5158638130649,1292.5375123233227,1323.201523342498,2070.923820285111,2171.331242085709,1553.6728203362225,1921.7885100998358,2396.206283072904,2497.6718001136364,2372.1834059530192,2400.082887593728,2364.9093739943123,3370.443770665233
Washington DC,168.88000692818298,369.1286233377533,90.00712477649485,0.0,533.7779494545438,921.868800327971,321.47991661594165,541.2401098303629,812.0507852761065,576.0639678993963,382.94562969871697,906.3958394626565,694.4879847402844,1161.595960489847,1188.9192543295485,1952.0856752117236,2060.747774427739,1448.8492971189373,1823.387674756548,2282.9396453803806,2394.6334452423384,2300.088132085074,2321.600629160811,2248.3290362644416,3347.9993897227514
Atlanta,745.2216556854555,945.4509753226251,665.8579049006538,533.7779494545438,0.0,595.9359072970083,226.53179240581892,214.0210870497217,406.9687125017152,591.5216592398913,595.3971970533945,907.028038008176,484.0520454144078,719.5652222545982,688.2084222535655,1583.9278197382694,1742.841653996188,1197.146461217514,1586.7382569230158,1942.2701530376953,2111.199762063219,2177.8947627645725,2168.067255803738,1887.5314408886159,3410.362279829082
Miami,1087.7715944961365,1260.3174522410695,1015.4713075386359,921.868800327971,595.9359072970083,0.0,652.0680013934614,807.4247315308811,204.52540920877496,1183.9441475260353,1147.7241858980724,1502.5242731813912,1069.8150634887127,1108.5079181009137,953.7513512396893,1968.673453218116,2171.169546361769,1707.9603462353984,2086.226304864881,2337.991784923803,2554.833509087078,2721.275250562661,2696.8277041600036,2263.379471030453,3998.7347297733836
Charlotte,528.344196242331,727.4247971526039,448.3032916106333,321.47991661594165,226.53179240581892,652.0680013934614,0.0,327.9543471477529,508.7878720548142,584.1818868018293,500.6370581649988,929.6180736275317,574.3805188085082,924.4443440014525,911.4886056299842,1769.9053966102233,1911.705588791389,1334.8327265979228,1723.4337853294123,2120.4533462822183,2269.5325941608266,2274.4737321775087,2277.0139346671003,2072.5094865611045,3437.9938592047934
Nashville,746.273558270266,940.9402019412644,673.7539528491924,541.2401098303629,214.0210870497217,807.4247315308811,327.9543471477529,0.0,612.9571787823118,395.39714179492074,456.6836751586862,695.3580838476496,271.7946672625533,621.6741879267504,656.495046743522,1445.5151150094373,1583.7914896424804,1011.3353057963631,1400.9809966783928,1793.47808229015,1942.2093519985979,1973.6977227910104,1968.4878127440113,1747.344369964381,3196.3531361122386
Tampa,998.7090307532658,1185.86216295587,921.3314251375427,812.0507852761065,406.9687125017152,204.52540920877496,508.7878720548142,612.9571787823118,0.0,998.485799675988,984.7542358213385,1307.8435036013282,870.1180922164748,916.179861241803,779.7966121065652,1785.0457173893637,1980.5932178480678,1505.2838735571213,1885.285103665083,2153.9407673674964,2362.7515644894665,2517.158317748304,2493.669230023515,2082.929647940201,3797.25269637854
Chicago,709.0323136068207,858.4315148923472,666.6916260244313,576.0639678993963,591.5216592398913,1183.9441475260353,584.1818868018293,395.39714179492074,998.485799675988,0.0,227.76266288715863,333.673880189936,251.13604888979117,793.6482683178849,918.498197162119,1437.4981762846999,1510.9859583447007,886.0902164349475,1246.5685265203108,1741.1565545998394,1825.0407568767175,1716.075255169949,1734.6567691768214,1719.9999583692554,2838.661929007017
Detroit,486.82917811670114,630.6870346168968,452.3913064801714,382.94562969871697,595.3971970533945,1147.7241858980724,500.6370581649988,456.6836751586862,984.7542358213385,227.76266288715863,0.0,527.0757342328635,439.37266032305274,980.529675265024,1075.5159011000874,1667.7499242072413,1744.8249091151345,1119.8968247244147,1477.555327781035,1974.7440360513547,2057.428051217935,1921.9084299543854,1947.9675018323808,1952.4638869690862,2977.6561918939815
Minneapolis,1005.8307392178069,1121.0988915569496,978.3026454174935,906.3958394626565,907.028038008176,1502.5242731813912,929.6180736275317,695.3580838476496,1307.8435036013282,333.673880189936,527.0757342328635,0.0,448.4146837972561,852.8815461956701,1035.772307548948,1274.8738934074186,1297.2792903296136,678.7572861524823,988.934335230541,1533.1076275665241,1572.1030521948533,1394.8612207107678,1422.1280539067475,1530.312495777142,2511.5851442630483
St. Louis,870.1350824589697,1044.27326115728,811.5158638130649,694.4879847402844,484.0520454144078,1069.8150634887127,574.3805188085082,271.7946672625533,870.1180922164748,251.13604888979117,439.37266032305274,448.4146837972561,0.0,545.7735002276482,668.351995916371,1259.4079807389653,1368.1775864948672,767.7107519149839,1153.2012637804082,1588.7009375847617,1711.1379786397385,1705.259254430446,1703.8759022395702,1554.1584933237798,2929.390080499716
Dallas,1362.3261727074528,1551.9102680508518,1292.5375123233227,1161.595960489847,719.5652222545982,1108.5079181009137,924.4443440014525,621.6741879267504,916.179861241803,793.6482683178849,980.529675265024,852.8815461956701,545.7735002276482,0.0,216.91121958704636,866.1091636365842,1053.1012943496287,641.3168487637633,987.6487240733028,1232.2891795400149,1435.502889267344,1657.9156782118944,1613.734844045149,1168.447413321998,3038.05119451755
Houston,1398.4258031810064,1595.4630858130795,1323.201523342498,1188.9192543295485,688.2084222535655,953.7513512396893,911.4886056299842,656.495046743522,779.7966121065652,918.498197162119,1075.5159011000874,1035.772307548948,668.351995916371,216.91121958704636,0.0,1007.2228087836496,1219.6223438467384,862.1501276452449,1194.4939035981695,1376.3847402873416,1605.1409254238274,1872.4457158587231,1822.9341854128652,1300.6246040753595,3261.2627973060594
Phoenix,2128.427232244031,2295.2087890303183,2070.923820285111,1952.0856752117236,1583.9278197382694,1968.673453218116,1769.9053966102233,1445.5151150094373,1785.0457173893637,1437.4981762846999,1667.7499242072413,1274.8738934074186,1259.4079807389653,866.1091636365842,1007.2228087836496,0.0,255.2898702179209,601.8222866224559,508.1233038081066,369.31923424126427,620.5333313328334,1107.1753010158488,1009.7828026139978,303.61203509933546,2548.5130830124117
Las Vegas,2222.0263042436386,2375.3008023442235,2171.331242085709,2060.747774427739,1742.841653996188,2171.169546361769,1911.705588791389,1583.7914896424804,1980.5932178480678,1510.9859583447007,1744.8249091151345,1297.2792903296136,1368.1775864948672,1053.1012943496287,1219.6223438467384,255.2898702179209,0.0,627.1909575790513,367.8140964158208,236.11781884337375,385.5460921078185,866.8818604615504,762.8364484041302,258.7480998767446,2301.2398729590063
Denver,1600.9069364087106,1749.6167364530447,1553.6728203362225,1448.8492971189373,1197.146461217514,1707.9603462353984,1334.8327265979228,1011.3353057963631,1505.2838735571213,886.0902164349475,1119.8968247244147,678.7572861524823,767.7107519149839,641.3168487637633,862.1501276452449,601.8222866224559,627.1909575790513,0.0,389.9667725872062,860.686779963448,945.9301697442739,1022.1979200028663,989.3330366962584,852.102665969795,2400.392339467521
Salt Lake City,1963.6886746891105,2099.9603968591514,1921.7885100998358,1823.387674756548,1586.7382569230158,2086.226304864881,1723.4337853294123,1400.9809966783928,1885.285103665083,1246.5685265203108,1477.555327781035,988.934335230541,1153.2012637804082,987.6487240733028,1194.4939035981695,508.1233038081066,367.8140964158208,389.9667725872062,0.0,589.878613953909,583.424288858057,687.6814531224836,628.6748954763536,626.5585429944013,2120.7140209450554
Los Angeles,2448.8336248719556,2605.4310596784253,2396.206283072904,2282.9396453803806,1942.2701530376953,2337.991784923803,2120.4533462822183,1793.47808229015,2153.9407673674964,1741.1565545998394,1974.7440360513547,1533.1076275665241,1588.7009375847617,1232.2891795400149,1376.3847402873416,369.31923424126427,236.11781884337375,860.686779963448,589.878613953909,0.0,308.0327683422547,954.9927135632646,834.5583686911007,109.17586493899789,2343.075501561126
San Francisco,2542.275785110765,2682.25720893123,2497.6718001136364,2394.6334452423384,2111.199762063219,2554.833509087078,2269.5325941608266,1942.2093519985979,2362.7515644894665,1825.0407568767175,2057.428051217935,1572.1030521948533,1711.1379786397385,1435.502889267344,1605.1409254238274,620.5333313328334,385.5460921078185,945.9301697442739,583.424288858057,308.0327683422547,0.0,672.1350398447655,543.9321005486022,417.18008261774975,2013.2739907143553
Seattle,2395.273768939007,2488.9112172888817,2372.1834059530192,2300.088132085074,2177.8947627645725,2721.275250562661,2274.4737321775087,1973.6977227910104,2517.158317748304,1716.075255169949,1921.9084299543854,1394.8612207107678,1705.259254430446,1657.9156782118944,1872.4457158587231,1107.1753010158488,866.8818604615504,1022.1979200028663,687.6814531224836,954.9927135632646,672.1350398447655,0.0,129.26666097322175,1051.5152152175676,1445.087960327102
Portland,2427.4104807545796,2530.425685646336,2400.082887593728,2321.600629160811,2168.067255803738,2696.8277041600036,2277.0139346671003,1968.4878127440113,2493.669230023515,1734.6567691768214,1947.9675018323808,1422.1280539067475,1703.8759022395702,1613.734844045149,1822.9341854128652,1009.7828026139978,762.8364484041302,989.3330366962584,628.6748954763536,834.5583686911007,543.9321005486022,129.26666097322175,0.0,933.6823902095797,1538.9727380930292
San Diego,2420.2799012576834,2582.3570423864194,2364.9093739943123,2248.3290362644416,1887.5314408886159,2263.379471030453,2072.5094865611045,1747.344369964381,2082.929647940201,1719.9999583692554,1952.4638869690862,1530.312495777142,1554.1584933237798,1168.447413321998,1300.6246040753595,303.61203509933546,258.7480998767446,852.102665969795,626.5585429944013,109.17586493899789,417.18008261774975,1051.5152152175676,933.6823902095797,0.0,2449.347473556525
Anchorage,3361.065581050299,3373.396200025653,3370.443770665233,3347.9993897227514,3410.362279829082,3998.7347297733836,3437.9938592047934,3196.3531361122386,3797.25269637854,2838.661929007017,2977.6561918939815,2511.5851442630483,2929.390080499716,3038.05119451755,3261.2627973060594,2548.5130830124117,2301.2398729590063,2400.392339467521,2120.7140209450554,2343.075501561126,2013.2739907143553,1445.087960327102,1538.9727380930292,2449.347473556525,0.0
